University_uni,City,Type,Founded_Year_clean,Stream_Type,College Type,Faculty,Department,Minimum Absolute Score,Minimum Percentage (%),Decade
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Agriculture,Plant Pathology,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Commerce,Accounting,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Commerce,Accounting,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Commerce,Accounting,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Commerce,Business Administration,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Commerce,Business Administration,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Commerce,Business Administration,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Commerce,Economics,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Commerce,Economics,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Commerce,Economics,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Commerce,Statistics,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Commerce,Statistics,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Commerce,Statistics,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Law,Public Law,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Law,Public Law,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Law,Public Law,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Law,Private Law,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Law,Private Law,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Law,Private Law,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Law,International Law,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Law,International Law,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Law,International Law,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Law,Criminal Law,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Law,Criminal Law,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Law,Criminal Law,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Arts,English Language & Literature,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Arts,English Language & Literature,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Arts,English Language & Literature,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Arts,Arabic,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Arts,Arabic,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Arts,Arabic,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Arts,History,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Arts,History,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Arts,History,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Arts,Philosophy,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Arts,Philosophy,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Arts,Philosophy,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Arts,Psychology,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Arts,Psychology,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Arts,Psychology,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Pharmacy,Pharmaceutical Chemistry,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Pharmacy,Pharmaceutical Chemistry,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Pharmacy,Pharmaceutical Chemistry,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Pharmacy,Pharmacology,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Pharmacy,Pharmacology,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Pharmacy,Pharmacology,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Pharmacy,Pharmaceutics,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Pharmacy,Pharmaceutics,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Pharmacy,Pharmaceutics,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Pharmacy,Microbiology,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Pharmacy,Microbiology,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Pharmacy,Microbiology,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Computers and Information,Computer Science,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Computers and Information,Computer Science,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Computers and Information,Computer Science,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Computers and Information,Information Systems,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Computers and Information,Information Systems,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Computers and Information,Information Systems,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Computers and Information,Software Engineering,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Computers and Information,Software Engineering,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Computers and Information,Software Engineering,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Mass Communication,Journalism,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Mass Communication,Journalism,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Mass Communication,Journalism,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Mass Communication,Radio & TV,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Mass Communication,Radio & TV,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Mass Communication,Radio & TV,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Mass Communication,Public Relations,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Mass Communication,Public Relations,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Mass Communication,Public Relations,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Mass Communication,Advertising,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Mass Communication,Advertising,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Mass Communication,Advertising,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Nursing,Medical-Surgical Nursing,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Nursing,Medical-Surgical Nursing,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Nursing,Medical-Surgical Nursing,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Nursing,Pediatric Nursing,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Nursing,Pediatric Nursing,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Nursing,Pediatric Nursing,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Nursing,Psychiatric Nursing,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Nursing,Psychiatric Nursing,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Nursing,Psychiatric Nursing,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Physiotherapy,Orthopedics,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Physiotherapy,Orthopedics,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Physiotherapy,Orthopedics,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Physiotherapy,Neurology,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Physiotherapy,Neurology,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Physiotherapy,Neurology,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Physiotherapy,Cardiopulmonary,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Physiotherapy,Cardiopulmonary,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Physiotherapy,Cardiopulmonary,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Physiotherapy,Pediatrics,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Physiotherapy,Pediatrics,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Physiotherapy,Pediatrics,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Oral and Dental Medicine,Conservative Dentistry,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Oral and Dental Medicine,Conservative Dentistry,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Oral and Dental Medicine,Conservative Dentistry,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Oral and Dental Medicine,Orthodontics,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Oral and Dental Medicine,Orthodontics,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Oral and Dental Medicine,Orthodontics,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Oral and Dental Medicine,Oral Surgery,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Oral and Dental Medicine,Oral Surgery,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Oral and Dental Medicine,Oral Surgery,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Oral and Dental Medicine,Periodontology,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Oral and Dental Medicine,Periodontology,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Oral and Dental Medicine,Periodontology,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Veterinary Medicine,Anatomy,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Veterinary Medicine,Anatomy,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Veterinary Medicine,Anatomy,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Veterinary Medicine,Physiology,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Veterinary Medicine,Physiology,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Veterinary Medicine,Physiology,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Veterinary Medicine,Pathology,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Veterinary Medicine,Pathology,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Veterinary Medicine,Pathology,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Veterinary Medicine,Surgery,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Veterinary Medicine,Surgery,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Veterinary Medicine,Surgery,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Veterinary Medicine,Public Health,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Veterinary Medicine,Public Health,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Veterinary Medicine,Public Health,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Dar El-Ulum,Islamic Studies,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Dar El-Ulum,Islamic Studies,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Dar El-Ulum,Islamic Studies,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Dar El-Ulum,Arabic Language,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Dar El-Ulum,Arabic Language,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Dar El-Ulum,Arabic Language,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Dar El-Ulum,Quran Sciences,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Dar El-Ulum,Quran Sciences,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Dar El-Ulum,Quran Sciences,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Dar El-Ulum,Theology,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Dar El-Ulum,Theology,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Dar El-Ulum,Theology,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Kindergarten,Early Childhood Education,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Kindergarten,Early Childhood Education,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Kindergarten,Early Childhood Education,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Kindergarten,Child Psychology,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Kindergarten,Child Psychology,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Kindergarten,Child Psychology,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Kindergarten,Curriculum Development,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Kindergarten,Curriculum Development,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Kindergarten,Curriculum Development,270.0,71.1,1950
alexandria university,Alexandria,Public,1938,Science,Medicine (Medicine),Faculty of Medicine,Internal Medicine,396.0,96.6,1930
alexandria university,Alexandria,Public,1938,Science,Dentistry (Dentistry),Faculty of Medicine,Internal Medicine,388.0,94.6,1930
alexandria university,Alexandria,Public,1938,Literary,Law (),Faculty of Medicine,Internal Medicine,268.0,70.5,1930
alexandria university,Alexandria,Public,1938,Science,Medicine (Medicine),Faculty of Medicine,Surgery,396.0,96.6,1930
alexandria university,Alexandria,Public,1938,Science,Dentistry (Dentistry),Faculty of Medicine,Surgery,388.0,94.6,1930
alexandria university,Alexandria,Public,1938,Literary,Law (),Faculty of Medicine,Surgery,268.0,70.5,1930
alexandria university,Alexandria,Public,1938,Science,Medicine (Medicine),Faculty of Medicine,Pediatrics,396.0,96.6,1930
alexandria university,Alexandria,Public,1938,Science,Dentistry (Dentistry),Faculty of Medicine,Pediatrics,388.0,94.6,1930
alexandria university,Alexandria,Public,1938,Literary,Law (),Faculty of Medicine,Pediatrics,268.0,70.5,1930
alexandria university,Alexandria,Public,1938,Science,Medicine (Medicine),Faculty of Medicine,Obstetrics & Gynecology,396.0,96.6,1930
alexandria university,Alexandria,Public,1938,Science,Dentistry (Dentistry),Faculty of Medicine,Obstetrics & Gynecology,388.0,94.6,1930
alexandria university,Alexandria,Public,1938,Literary,Law (),Faculty of Medicine,Obstetrics & Gynecology,268.0,70.5,1930
alexandria university,Alexandria,Public,1938,Science,Medicine (Medicine),Faculty of Medicine,Pharmacology,396.0,96.6,1930
alexandria university,Alexandria,Public,1938,Science,Dentistry (Dentistry),Faculty of Medicine,Pharmacology,388.0,94.6,1930
alexandria university,Alexandria,Public,1938,Literary,Law (),Faculty of Medicine,Pharmacology,268.0,70.5,1930
alexandria university,Alexandria,Public,1938,Science,Medicine (Medicine),Faculty of Medicine,Anatomy,396.0,96.6,1930
alexandria university,Alexandria,Public,1938,Science,Dentistry (Dentistry),Faculty of Medicine,Anatomy,388.0,94.6,1930
alexandria university,Alexandria,Public,1938,Literary,Law (),Faculty of Medicine,Anatomy,268.0,70.5,1930
alexandria university,Alexandria,Public,1938,Science,Medicine (Medicine),Faculty of Engineering,Civil Engineering,396.0,96.6,1930
alexandria university,Alexandria,Public,1938,Science,Dentistry (Dentistry),Faculty of Engineering,Civil Engineering,388.0,94.6,1930
alexandria university,Alexandria,Public,1938,Literary,Law (),Faculty of Engineering,Civil Engineering,268.0,70.5,1930
alexandria university,Alexandria,Public,1938,Science,Medicine (Medicine),Faculty of Engineering,Mechanical Engineering,396.0,96.6,1930
alexandria university,Alexandria,Public,1938,Science,Dentistry (Dentistry),Faculty of Engineering,Mechanical Engineering,388.0,94.6,1930
alexandria university,Alexandria,Public,1938,Literary,Law (),Faculty of Engineering,Mechanical Engineering,268.0,70.5,1930
alexandria university,Alexandria,Public,1938,Science,Medicine (Medicine),Faculty of Engineering,Electrical Engineering,396.0,96.6,1930
alexandria university,Alexandria,Public,1938,Science,Dentistry (Dentistry),Faculty of Engineering,Electrical Engineering,388.0,94.6,1930
alexandria university,Alexandria,Public,1938,Literary,Law (),Faculty of Engineering,Electrical Engineering,268.0,70.5,1930
alexandria university,Alexandria,Public,1938,Science,Medicine (Medicine),Faculty of Engineering,Architecture,396.0,96.6,1930
alexandria university,Alexandria,Public,1938,Science,Dentistry (Dentistry),Faculty of Engineering,Architecture,388.0,94.6,1930
alexandria university,Alexandria,Public,1938,Literary,Law (),Faculty of Engineering,Architecture,268.0,70.5,1930
alexandria university,Alexandria,Public,1938,Science,Medicine (Medicine),Faculty of Engineering,Computer Engineering,396.0,96.6,1930
alexandria university,Alexandria,Public,1938,Science,Dentistry (Dentistry),Faculty of Engineering,Computer Engineering,388.0,94.6,1930
alexandria university,Alexandria,Public,1938,Literary,Law (),Faculty of Engineering,Computer Engineering,268.0,70.5,1930
